Method,Dataset,Target,Evaluation Year,Evaluation Start,Evaluation End,Training Signal Date Min,Training Signal Date Max,Training Label Availability Cutoff,Training Rows,Evaluation Rows,Censored Rows Excluded,Ambiguous Rows Count,Training Availability Violations
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2018,2018-01-02,2018-12-31,2011-09-09,2017-09-29,2018-01-02,4266,597,193,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2019,2019-01-02,2019-12-31,2011-09-09,2018-09-27,2019-01-02,5030,540,195,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2020,2020-01-01,2020-12-31,2011-09-09,2019-09-26,2020-01-01,5532,545,216,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2021,2021-01-01,2021-12-31,2011-09-09,2020-09-23,2021-01-01,6015,1057,352,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2022,2022-01-05,2022-12-30,2011-09-09,2021-10-04,2022-01-05,7089,670,226,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2023,2023-01-02,2023-12-29,2011-09-09,2022-09-29,2023-01-02,7738,740,285,2,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2024,2024-01-01,2024-12-31,2011-09-09,2023-09-26,2024-01-01,8510,851,299,3,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2025,2025-01-01,2025-12-31,2011-09-09,2024-09-27,2025-01-01,9288,533,155,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_63_PCT,2026,2026-01-01,2026-08-28,2011-09-09,2025-09-29,2026-01-01,9857,149,162,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2018,2018-01-01,2018-12-10,2012-02-28,2017-12-21,2018-01-01,1715,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-23,2020-01-01,2371,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-23,2023-01-02,3448,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2024,2024-01-01,2024-12-30,2012-02-28,2023-12-21,2024-01-01,3799,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2025,2025-01-03,2025-12-31,2012-02-28,2024-12-26,2025-01-03,4057,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_RETURN,2026,2026-01-01,2026-08-13,2012-02-28,2025-12-23,2026-01-01,4276,65,0,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2018,2018-01-01,2018-12-10,2012-02-28,2017-12-21,2018-01-01,1715,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-23,2020-01-01,2371,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-23,2023-01-02,3448,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2024,2024-01-01,2024-12-30,2012-02-28,2023-12-21,2024-01-01,3799,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2025,2025-01-03,2025-12-31,2012-02-28,2024-12-26,2025-01-03,4057,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MFE,2026,2026-01-01,2026-08-13,2012-02-28,2025-12-23,2026-01-01,4276,65,0,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2018,2018-01-01,2018-12-10,2012-02-28,2017-12-21,2018-01-01,1715,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-23,2020-01-01,2371,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-23,2023-01-02,3448,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2024,2024-01-01,2024-12-30,2012-02-28,2023-12-21,2024-01-01,3799,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2025,2025-01-03,2025-12-31,2012-02-28,2024-12-26,2025-01-03,4057,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_5_SESSION_MAE,2026,2026-01-01,2026-08-13,2012-02-28,2025-12-23,2026-01-01,4276,65,0,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2018,2018-01-01,2018-12-10,2012-02-28,2017-12-14,2018-01-01,1692,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-04,2020-01-01,2368,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-07,2023-01-02,3443,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2024,2024-01-01,2024-12-30,2012-02-28,2023-12-14,2024-01-01,3789,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2025,2025-01-03,2025-12-31,2012-02-28,2024-12-18,2025-01-03,4046,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_RETURN,2026,2026-01-01,2026-08-13,2012-02-28,2025-12-16,2026-01-01,4263,65,0,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2018,2018-01-01,2018-12-10,2012-02-28,2017-12-14,2018-01-01,1692,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-04,2020-01-01,2368,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-07,2023-01-02,3443,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2024,2024-01-01,2024-12-30,2012-02-28,2023-12-14,2024-01-01,3789,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2025,2025-01-03,2025-12-31,2012-02-28,2024-12-18,2025-01-03,4046,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MFE,2026,2026-01-01,2026-08-13,2012-02-28,2025-12-16,2026-01-01,4263,65,0,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2018,2018-01-01,2018-12-10,2012-02-28,2017-12-14,2018-01-01,1692,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-04,2020-01-01,2368,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-07,2023-01-02,3443,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2024,2024-01-01,2024-12-30,2012-02-28,2023-12-14,2024-01-01,3789,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2025,2025-01-03,2025-12-31,2012-02-28,2024-12-18,2025-01-03,4046,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_10_SESSION_MAE,2026,2026-01-01,2026-08-13,2012-02-28,2025-12-16,2026-01-01,4263,65,0,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2018,2018-01-01,2018-12-10,2012-02-28,2017-11-30,2018-01-01,1641,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-02,2020-01-01,2364,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-02,2023-01-02,3434,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2024,2024-01-01,2024-12-30,2012-02-28,2023-11-30,2024-01-01,3766,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2025,2025-01-03,2025-12-31,2012-02-28,2024-11-26,2025-01-03,4037,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_RETURN,2026,2026-01-01,2026-08-13,2012-02-28,2025-11-04,2026-01-01,4238,63,2,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2018,2018-01-01,2018-12-10,2012-02-28,2017-11-30,2018-01-01,1641,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-02,2020-01-01,2364,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-02,2023-01-02,3434,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2024,2024-01-01,2024-12-30,2012-02-28,2023-11-30,2024-01-01,3766,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2025,2025-01-03,2025-12-31,2012-02-28,2024-11-26,2025-01-03,4037,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,2026,2026-01-01,2026-08-13,2012-02-28,2025-11-04,2026-01-01,4238,63,2,18,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2016,2016-04-13,2016-12-21,2012-02-28,2015-11-09,2016-04-13,1259,182,0,171,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2017,2017-02-21,2017-12-29,2012-02-28,2016-12-21,2017-02-21,1441,296,0,189,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2018,2018-01-01,2018-12-10,2012-02-28,2017-11-30,2018-01-01,1641,261,0,170,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2019,2019-01-16,2019-12-31,2012-02-28,2018-12-10,2019-01-16,1998,378,0,302,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2020,2020-01-01,2020-12-21,2012-02-28,2019-12-02,2020-01-01,2364,296,0,243,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2021,2021-01-25,2021-11-25,2012-02-28,2020-12-21,2021-01-25,2672,493,0,394,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2022,2022-01-10,2022-12-30,2012-02-28,2021-11-25,2022-01-10,3165,298,0,221,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2023,2023-01-02,2023-12-29,2012-02-28,2022-12-02,2023-01-02,3434,351,0,242,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2024,2024-01-01,2024-12-30,2012-02-28,2023-11-30,2024-01-01,3766,245,0,184,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2025,2025-01-03,2025-12-31,2012-02-28,2024-11-26,2025-01-03,4037,226,0,141,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,2026,2026-01-01,2026-08-13,2012-02-28,2025-11-04,2026-01-01,4238,63,2,18,0
